t_ms,H,T,E,P,M,D,R,RAW,A,F,PRE,CAS,RS,CM,FH
3950,3.0,15.0,12.0,4100,1,0.0,6808,46.6,8,49.0,0,1,7200,2,0.00
3965,2.9,15.0,12.1,4100,1,0.0,6810,46.4,9,49.0,0,1,7200,2,0.00
3981,2.9,15.0,12.1,4100,1,0.0,6744,46.2,9,49.0,0,1,7200,2,0.00
4012,2.9,15.0,12.1,4100,1,0.0,6744,45.6,9,49.0,0,1,7200,2,0.00
4027,3.0,15.0,12.0,4100,1,0.0,6810,46.5,9,50.0,0,1,7200,2,0.00
4043,3.0,15.0,12.0,4100,1,0.0,6810,46.3,9,50.0,0,1,7200,2,0.00
4074,2.9,15.0,12.1,4100,1,0.0,6744,46.0,1,50.0,0,1,7200,2,0.00
4089,3.0,15.0,12.0,4100,1,0.0,6746,45.9,3,50.0,0,1,7200,2,0.00
4105,3.2,15.0,11.8,4100,1,0.0,6811,46.4,5,50.0,0,1,7200,2,0.00
4120,3.2,15.0,11.8,4100,1,0.0,6813,46.2,7,50.0,0,1,7200,2,0.00
4150,3.1,15.0,11.9,4100,1,0.0,6747,46.0,9,50.0,0,1,7200,2,0.00
4166,3.1,15.0,11.9,4100,1,0.0,6747,45.5,9,50.0,0,1,7200,2,0.00
4181,3.2,15.0,11.8,4100,1,0.0,6813,46.1,9,50.0,0,1,7200,2,0.00
4213,3.4,15.0,11.6,4100,1,0.0,6815,45.8,9,50.0,0,1,7200,2,0.00
4229,3.4,15.0,11.6,4100,1,0.0,6749,45.8,9,50.0,0,1,7200,2,0.00
4244,3.5,15.0,11.5,4100,1,0.0,6749,45.7,0,50.0,0,1,7200,2,0.00
4274,3.6,15.0,11.4,4100,1,0.0,6815,45.7,2,50.0,0,1,7200,2,0.00
4289,3.6,15.0,11.4,4100,1,0.0,6815,45.3,4,50.0,0,1,7200,2,0.00
4305,3.7,15.0,11.3,4100,1,0.0,6749,45.3,6,50.0,0,1,7200,2,0.00
4321,3.9,15.0,11.1,4100,1,0.0,6750,45.2,8,50.0,0,1,7200,2,0.00
4413,4.0,15.0,11.0,4100,1,0.0,6752,45.7,69,50.0,0,1,7200,2,0.00
4428,3.9,15.0,11.1,4100,1,0.0,6819,45.5,9,50.0,0,1,7200,2,0.00
4443,3.8,15.0,11.2,4100,1,0.0,6755,45.4,1,50.0,0,1,7200,2,0.00
4475,3.9,15.0,11.1,4100,1,0.0,6753,45.8,3,50.0,0,1,7200,2,0.00
4490,3.9,15.0,11.1,4100,1,0.0,6821,45.1,5,50.0,0,1,7200,2,0.00
4506,4.0,15.0,11.0,4100,1,0.0,6822,45.1,7,50.0,0,1,7200,2,0.00
4522,4.1,15.0,10.9,4100,1,0.0,6755,45.1,9,50.0,0,1,7200,2,0.00
4552,4.2,15.0,10.8,4100,1,0.0,6755,45.1,9,50.0,0,1,7200,2,0.00
4568,4.2,15.0,10.8,4100,1,0.0,6821,44.9,9,50.0,0,1,7200,2,0.00
